Id,order_status,order_products_value,order_freight_value,order_items_qty,order_purchase_timestamp,order_aproved_at,order_delivered_customer_date,customer_city,customer_state,customer_zip_code_prefix,review_score
1,delivered,79.0,17.8,1,2017-10-02 10:56:00,2017-10-02 11:07:00,2017-10-10 21:25:00,Luziania,GO,728,5
2,delivered,119.9,27.16,1,2018-07-24 20:41:00,2018-07-26 03:24:00,2018-08-07 15:27:00,Joinville,SC,892,5
3,delivered,519.99,41.69,1,2018-08-08 08:38:00,2018-08-08 08:55:00,2018-08-17 18:06:00,Serra,ES,291,1
4,delivered,29.5,17.92,1,2017-11-18 19:28:00,2017-11-18 19:45:00,2017-12-02 00:28:00,RIO DE JANEIRO,RJ,222,4
5,delivered,26.77,23.11,1,2018-02-13 21:18:00,2018-02-13 22:20:00,2018-02-16 18:17:00,Sao Paulo,SP,40,5
6,delivered,419.9,23.02,1,2017-07-09 21:57:00,2017-07-09 22:10:00,2017-07-26 10:57:00,Santa Adelia,SP,159,5
7,delivered,65.0,16.21,1,2017-04-11 12:22:00,2017-04-13 13:25:00,2017-04-13 13:25:00,Varginha,MG,370,5
8,delivered,29.99,19.82,1,2017-05-16 13:10:00,2017-05-16 13:22:00,2017-05-26 12:55:00,Sao Paulo,SP,48,4
9,delivered,59.99,51.14,1,2017-01-23 18:29:00,2017-01-25 02:50:00,2017-02-02 14:08:00,Carajas,PA,685,5
10,delivered,56.99,16.13,1,2017-07-29 11:55:00,2017-07-29 12:05:00,2017-08-16 17:14:00,Resende,RJ,275,5
11,delivered,599.0,15.69,1,2017-05-16 19:41:00,2017-05-16 19:50:00,2017-05-29 11:18:00,Guaratingueta,SP,125,4
12,delivered,62.0,16.19,1,2017-07-13 19:58:00,2017-07-13 20:10:00,2017-07-19 14:04:00,Tijucas,SC,882,4
13,delivered,250.0,35.02,1,2018-06-07 10:06:00,2018-06-09 03:13:00,2018-06-19 12:05:00,Mirassol,SP,151,1
14,delivered,69.9,12.93,1,2018-07-25 17:44:00,2018-07-25 17:55:00,2018-07-30 15:52:00,SAO PAULO,SP,82,4
15,delivered,250.0,16.5,1,2018-03-01 14:14:00,2018-03-01 15:10:00,2018-03-12 23:36:00,Bage,RS,964,5
16,delivered,79.9,7.82,1,2018-06-07 19:03:00,2018-06-12 23:31:00,2018-06-21 15:34:00,Cubatao,SP,115,3
17,delivered,32.0,19.41,1,2018-01-02 19:00:00,2018-01-02 19:09:00,2018-01-20 01:38:00,Jaraguari,MS,794,4
18,delivered,287.7,15.37,1,2017-12-26 23:41:00,2017-12-26 23:50:00,2018-01-08 22:36:00,Presidente Prudente,SP,190,5
19,delivered,59.99,15.18,1,2017-11-21 00:03:00,2017-11-21 00:14:00,2017-11-27 18:28:00,Cidade Ocidental,GO,728,3
20,delivered,1200.0,60.76,1,2017-10-26 15:54:00,2017-10-26 16:08:00,2017-11-08 22:22:00,Sao Lourenco do Sul,RS,961,4
21,delivered,199.0,20.12,1,2017-09-18 14:31:00,2017-09-19 04:04:00,2017-10-09 22:23:00,Sao Paulo,SP,55,5
22,delivered,49.39,16.11,1,2018-03-15 08:52:00,2018-03-15 09:09:00,2018-03-19 18:08:00,BRASILIA,DF,703,2
23,delivered,100.0,17.95,1,2018-02-03 20:37:00,2018-02-03 20:50:00,2018-02-08 16:13:00,Pindamonhangaba,SP,124,5
24,delivered,139.99,15.74,1,2018-01-08 07:55:00,2018-01-08 08:07:00,2018-01-26 17:32:00,Nova Iguacu,RJ,262,5
25,delivered,16.99,16.79,1,2018-08-09 11:44:00,2018-08-10 03:24:00,2018-08-13 18:24:00,Vitoria,ES,290,5
26,delivered,36.0,36.46,2,2018-02-20 23:46:00,2018-02-22 02:30:00,2018-03-21 22:03:00,Curitiba,PR,805,5
27,delivered,42.79,15.79,1,2018-06-04 00:00:00,2018-06-05 00:35:00,2018-06-16 15:20:00,Vitoria,ES,290,5
28,delivered,249.0,26.47,1,2018-03-12 01:50:00,2018-03-12 03:28:00,2018-03-21 14:41:00,Serrinha,BA,487,1
29,delivered,494.99,20.71,1,2018-05-02 11:45:00,2018-05-03 12:55:00,2018-05-16 20:56:00,Barra Mansa,RJ,273,1
30,delivered,28.9,15.79,1,2018-02-25 13:50:00,2018-02-25 14:47:00,2018-03-27 23:29:00,Aparecida de Goiania,GO,749,3
31,delivered,189.9,17.03,1,2017-08-10 11:58:00,2017-08-12 02:45:00,2017-08-18 14:28:00,Maua,SP,93,4
32,delivered,210.0,5.73,1,2018-04-16 21:15:00,2018-04-16 22:10:00,2018-05-05 12:28:00,Itaborai,RJ,248,5
33,delivered,157.0,33.55,1,2017-12-12 13:56:00,2017-12-14 13:54:00,2018-01-03 18:03:00,Jaguaribe,CE,634,5
34,delivered,151.0,42.71,1,2018-02-03 12:38:00,2018-02-03 12:50:00,2018-02-22 00:07:00,Sao Jose dos Campos,SP,122,5
35,delivered,105.0,21.22,1,2018-07-29 23:34:00,2018-07-29 23:45:00,2018-07-31 22:48:00,Foz do Iguacu,PR,858,5
36,delivered,24.9,14.1,1,2018-02-17 15:59:00,2018-02-17 16:15:00,2018-03-20 00:59:00,Florianopolis,SC,880,2
37,delivered,25.9,35.67,1,2018-02-21 18:15:00,2018-02-23 02:10:00,2018-03-13 23:58:00,Fortaleza,CE,603,5
38,delivered,120.0,14.59,1,2017-07-31 21:37:00,2017-08-02 02:56:00,2017-08-08 21:24:00,Itatiba,SP,132,1
39,delivered,44.99,15.11,1,2018-06-01 12:23:00,2018-06-05 03:35:00,2018-06-18 21:32:00,Sao Paulo,SP,43,5
40,delivered,97.9,17.94,1,2018-03-26 17:12:00,2018-03-26 17:28:00,2018-04-05 22:11:00,Petropolis,RJ,256,4
41,delivered,84.9,19.83,1,2017-05-19 18:53:00,2017-05-19 19:05:00,2017-05-31 13:58:00,Jaragua do Sul,SC,892,4
42,delivered,59.0,20.81,1,2017-11-24 21:27:00,2017-11-25 00:21:00,2017-12-28 18:59:00,Nova Iguacu,RJ,260,5
43,delivered,99.0,18.27,1,2017-08-04 17:10:00,2017-08-04 17:25:00,2017-08-12 14:08:00,Itaquaquecetuba,SP,85,4
44,delivered,49.99,9.34,1,2018-08-04 23:25:00,2018-08-04 23:35:00,2018-08-13 23:34:00,Sao Paulo,SP,57,5
45,delivered,69.49,13.61,1,2018-06-04 16:44:00,2018-06-05 04:31:00,2018-06-05 04:31:00,Sao Bernardo do Campo,SP,98,4
46,delivered,110.0,14.78,2,2017-05-18 13:55:00,2017-05-18 14:05:00,2017-05-29 12:47:00,Sao Paulo,SP,50,4
47,delivered,49.9,9.26,1,2017-05-14 20:28:00,2017-05-14 20:42:00,2017-05-25 09:14:00,Viamao,RS,944,5
48,delivered,229.9,29.92,1,2018-05-17 16:59:00,2018-05-18 01:17:00,2018-05-21 15:22:00,Pitanga,PR,852,5
49,shipped,58.9,21.25,1,2018-07-29 11:24:00,2018-07-29 11:44:00,2018-08-02 22:09:00,Florianopolis,SC,880,1
50,delivered,796.0,51.32,2,2017-08-09 20:19:00,2017-08-11 04:15:00,2017-08-16 17:16:00,Mutum,MG,369,4
51,delivered,59.8,18.68,2,2018-02-01 14:02:00,2018-02-03 02:53:00,2018-02-14 13:41:00,Sao Paulo,SP,45,5
52,delivered,99.97,38.99,1,2018-06-26 13:42:00,2018-06-27 08:35:00,2018-07-03 18:37:00,Quedas do Iguacu,PR,854,4
53,delivered,31.9,17.63,1,2018-07-26 14:39:00,2018-07-26 14:55:00,2018-07-31 22:26:00,Cuiaba,MT,780,2
54,delivered,177.0,16.45,1,2017-12-15 00:06:00,2017-12-15 00:14:00,2018-01-03 15:09:00,Belo Horizonte,MG,311,4
55,delivered,109.9,15.52,1,2017-08-31 08:15:00,2017-08-31 08:30:00,2017-09-04 20:59:00,Jacarei,SP,123,5
56,delivered,49.9,17.63,1,2018-06-11 10:25:00,2018-06-11 10:58:00,2018-06-19 00:31:00,Recife,PE,506,4
57,delivered,49.8,33.58,2,2018-06-11 08:18:00,2018-06-11 08:31:00,2018-06-14 21:32:00,Palmas,PR,855,1
58,delivered,59.9,13.54,1,2018-03-09 14:50:00,2018-03-09 15:40:00,2018-04-03 13:28:00,Guarulhos,SP,70,3
59,delivered,19.9,21.15,1,2017-03-13 18:14:00,2017-03-13 18:14:00,2017-04-06 13:37:00,Teresina,PI,640,5
60,delivered,269.9,43.97,1,2017-06-13 21:11:00,2017-06-15 03:05:00,2017-06-19 18:51:00,Campinas,SP,131,1
61,delivered,59.9,20.75,1,2017-11-30 22:02:00,2017-12-02 02:51:00,2017-12-05 20:28:00,RIO DE JANEIRO,RJ,217,2
62,delivered,330.0,10.32,1,2018-08-05 13:09:00,2018-08-05 13:24:00,2018-08-10 18:35:00,Varzea Paulista,SP,132,5
63,delivered,59.9,14.13,1,2017-11-15 11:31:00,2017-11-15 11:46:00,2017-11-22 22:41:00,Sao Paulo,SP,27,5
64,delivered,290.0,13.42,1,2018-02-19 20:31:00,2018-02-21 06:15:00,2018-03-09 22:22:00,Novo Horizonte,SP,149,5
65,delivered,174.0,20.19,1,2018-04-22 08:48:00,2018-04-24 18:25:00,2018-04-24 19:31:00,Itapecerica,MG,355,5
66,delivered,19.99,16.79,1,2018-01-07 21:44:00,2018-01-07 21:51:00,2018-01-17 20:26:00,Salvador,BA,419,4
67,delivered,249.9,19.0,1,2018-02-10 13:26:00,2018-02-10 13:35:00,2018-02-20 22:13:00,Alegre,ES,295,4
68,delivered,145.0,8.28,1,2018-06-18 16:02:00,2018-06-18 17:00:00,2018-06-22 21:18:00,Guarulhos,SP,72,4
69,delivered,148.0,12.54,1,2018-06-13 13:47:00,2018-06-15 02:37:00,2018-06-18 22:32:00,Atibaia,SP,129,5
70,delivered,24.9,11.85,1,2018-07-15 08:33:00,2018-07-16 14:31:00,2018-07-24 16:41:00,SAO PAULO,SP,83,5
71,delivered,38.99,8.72,1,2017-09-13 14:27:00,2017-09-13 14:44:00,2017-09-16 15:40:00,Sao Jose dos Campos,SP,122,1
72,delivered,144.0,18.89,1,2018-04-13 08:44:00,2018-04-13 13:30:00,2018-04-19 20:41:00,RIO DE JANEIRO,RJ,200,3
73,delivered,124.9,17.06,1,2018-02-15 10:33:00,2018-02-15 10:47:00,2018-02-24 19:15:00,Porto Alegre,RS,913,5
74,delivered,29.99,7.39,1,2017-02-20 11:45:00,2017-02-22 03:10:00,2017-03-09 14:27:00,Sao Bernardo do Campo,SP,98,5
75,delivered,74.8,17.77,1,2017-04-20 17:15:00,2017-04-21 05:15:00,2017-05-10 09:17:00,Taiobeiras,MG,395,3
76,delivered,269.9,28.04,1,2017-09-15 09:19:00,2017-09-15 09:35:00,2017-09-25 20:14:00,Belem,PA,668,5
77,delivered,59.99,22.13,1,2018-07-28 16:52:00,2018-07-31 03:50:00,2018-08-06 18:44:00,Corumba,MS,793,5
78,delivered,79.99,22.49,1,2017-08-09 18:32:00,2017-08-09 18:45:00,2017-08-16 18:17:00,Mata de Sao Joao,BA,482,5
79,delivered,99.99,16.33,1,2018-08-26 22:04:00,2018-08-28 04:10:00,2018-08-29 12:40:00,Sao Paulo,SP,39,3
